,dataset,robot,identifier,type,acc?error,max_error,final_error,time
22,data/MRCLAM_Dataset3,Robot1,d3r1,FastSLAM,0.0631674078160202,0.1851507980620722,0.1846237366532181,8.051320667000255
23,data/MRCLAM_Dataset3,Robot1,d3r1,EKF_SLAM,0.07300473146077016,0.1671402799266924,0.16674554780146364,1.0124541739969573
24,data/MRCLAM_Dataset2,Robot4,d2r4,GraphSLAM,0.24572165222027673,0.4941201692124982,0.4941201692124982,56.26664993599843
25,data/MRCLAM_Dataset2,Robot4,d2r4,FastSLAM,0.1801124504906691,0.3407840778368921,0.3395821589439933,6.371838236002077
26,data/MRCLAM_Dataset2,Robot4,d2r4,EKF_SLAM,0.12576442256199416,0.28653391484548285,0.28653391484548285,8.25603861899799
27,data/MRCLAM_Dataset2,Robot3,d2r3,GraphSLAM,0.20527029415846546,0.39606332598963107,0.1735503729563254,49.801875454002584
28,data/MRCLAM_Dataset2,Robot3,d2r3,FastSLAM,0.220305661349106,0.3630625454572568,0.34509917720653993,9.400979867001297
29,data/MRCLAM_Dataset2,Robot3,d2r3,EKF_SLAM,0.1651978750963891,0.2600298909584121,0.19262657251399715,1.0769739159986784
30,data/MRCLAM_Dataset2,Robot2,d2r2,GraphSLAM,0.3493217808516512,0.489082643107069,0.30595791249749094,62.61540860099922
31,data/MRCLAM_Dataset2,Robot2,d2r2,FastSLAM,0.16829551341570112,0.3378496547278571,0.3310352639470217,7.110935879001772
32,data/MRCLAM_Dataset2,Robot2,d2r2,EKF_SLAM,0.07768433077681618,0.15477678805796768,0.12544467734331072,0.779081174001476
33,data/MRCLAM_Dataset2,Robot1,d2r1,GraphSLAM,0.1493459936114501,0.2565439359242077,0.2463488891581837,52.189817033999134
34,data/MRCLAM_Dataset2,Robot1,d2r1,FastSLAM,0.19270777243230086,0.41365768268882963,0.41365768268882963,8.75702142299997
35,data/MRCLAM_Dataset2,Robot1,d2r1,EKF_SLAM,0.051915348831081,0.1385765043270967,0.07089349088267939,1.009892824000417
36,data/MRCLAM_Dataset1,Robot4,d1r4,GraphSLAM,1472.985307002778,7816.253427408089,7816.253427408089,60.65765865600042
37,data/MRCLAM_Dataset1,Robot4,d1r4,FastSLAM,0.16293303196921582,0.26947848993972845,0.07715857716930408,5.6019868639996275
38,data/MRCLAM_Dataset1,Robot4,d1r4,EKF_SLAM,0.1394783991943464,0.24530734678632715,0.05341765761966765,0.6628879509989929
39,data/MRCLAM_Dataset1,Robot3,d1r3,GraphSLAM,0.18434685409951151,0.7834418253271485,0.7831617035322587,48.09103119700012
40,data/MRCLAM_Dataset1,Robot3,d1r3,FastSLAM,0.05213019499696725,0.15311517667297211,0.11059272087016203,7.195724942997913
41,data/MRCLAM_Dataset1,Robot3,d1r3,EKF_SLAM,0.08460122099492787,0.1858304163945179,0.15874468321987986,0.7975847119996615
42,data/MRCLAM_Dataset1,Robot2,d1r2,GraphSLAM,20.357943652621113,32.69652394855038,21.237373436193188,50.81298137200065
43,data/MRCLAM_Dataset1,Robot2,d1r2,FastSLAM,0.21731425751564706,0.3287337465410261,0.2745773204918876,7.401337817998865
44,data/MRCLAM_Dataset1,Robot2,d1r2,EKF_SLAM,0.24271149227211822,0.4206663269797124,0.28238539073352303,0.6363920349976979
45,data/MRCLAM_Dataset1,Robot1,d1r1,GraphSLAM,0.06419552190263796,0.12682037484661388,0.09258839511695628,52.516710766998585
